Top-K,Accuracy,Precision_Soil,Recall_Soil,F1_Soil,Precision_Grass,Recall_Grass,F1_Grass,Precision_Tree,Recall_Tree,F1_Tree,Precision_Macro,Recall_Macro,F1_Macro
10,0.9684002633311389,0.9711611554541999,0.9971705936874969,0.9839940308566202,0.7277777777777777,0.2270363951473137,0.34610303830911493,0.5789473684210527,0.11578947368421053,0.19298245614035087,0.7592954338843434,0.44666548750634033,0.5076931751020287
20,0.967694912066209,0.9697185438321705,0.9978023051377222,0.983559995185943,0.7754010695187166,0.2461799660441426,0.37371134020618557,0.3,0.014925373134328358,0.02843601895734597,0.681706537783629,0.4196358814387311,0.4619024514498249
30,0.9667074202953071,0.9689620805846899,0.9974595730128487,0.9830043331728454,0.7368421052631579,0.23608768971332209,0.35759897828863346,0.2,0.004901960784313725,0.009569377990430622,0.6352680619492826,0.41281640783682816,0.4500575631506365
40,0.9652496943477852,0.9711735789624397,0.993797616722016,0.982355354944604,0.5579710144927537,0.27065026362038663,0.36449704142011835,0.6486486486486487,0.1085972850678733,0.18604651162790697,0.7259310807012808,0.4576817218034253,0.5109663026642098
50,0.9670836076366031,0.971145132827777,0.9955507749474405,0.9831965234186384,0.6816479400749064,0.3018242122719735,0.41839080459770117,0.6875,0.10476190476190476,0.18181818181818182,0.7800976909675611,0.46737896399377293,0.5278018366115071
