Top-K,Accuracy,Precision_Soil,Recall_Soil,F1_Soil,Precision_Grass,Recall_Grass,F1_Grass,Precision_Tree,Recall_Tree,F1_Tree,Precision_Macro,Recall_Macro,F1_Macro
10,0.03174080692184708,1.0,0.000635075720566683,0.0012693453107454962,0.1844,0.788034188034188,0.2988654781199352,0.010718285074388097,0.95260663507109,0.021198059481122127,0.39837276169146274,0.5804252996086149,0.10711096097060095
20,0.03282234552807298,1.0,0.0010258915486077186,0.0020496803474696207,0.18081039755351683,0.8085470085470086,0.29553264604810997,0.010950668312845564,0.966824644549763,0.02165605095541401,0.3972536886221208,0.5921325148817931,0.1064127924503312
30,0.031693783504185086,1.0,0.00019540791402051784,0.00039073947445540685,0.18485086342229198,0.8051282051282052,0.3006702840727737,0.010633750133589826,0.943127962085308,0.021030383091149272,0.398494871185294,0.5828171917091779,0.10736380221279279
40,0.03522053982883476,1.0,0.0031753786028334147,0.006330654979303628,0.18650639782861575,0.8222222222222222,0.30404551201011376,0.010901084738481366,0.9620853080568721,0.021557903679711145,0.3991358275223657,0.595827636293976,0.11064469022304285
50,0.03460923539922882,1.0,0.002344894968246214,0.0046788185983039285,0.18784099766173032,0.8239316239316239,0.30593462392891146,0.011044392022303237,0.976303317535545,0.02184170068387849,0.3996284632280112,0.6008599454784717,0.11081838107036462
