Top-K,Accuracy,Precision_Soil,Recall_Soil,F1_Soil,Precision_Grass,Recall_Grass,F1_Grass,Precision_Tree,Recall_Tree,F1_Tree,Precision_Macro,Recall_Macro,F1_Macro
10,0.9706666666666667,0.9706666666666667,1.0,0.9851150202976996,0.0,0.0,0.0,0.0,0.0,0.0,0.32355555555555554,0.3333333333333333,0.3283716734325665
20,0.9626666666666667,0.963758389261745,0.9986091794158554,0.9808743169398907,0.8,0.19047619047619047,0.3076923076923077,0.0,0.0,0.0,0.5879194630872483,0.3963617899640153,0.4295222082107328
30,0.9573333333333334,0.9573333333333334,1.0,0.9782016348773842,0.0,0.0,0.0,0.0,0.0,0.0,0.3191111111111111,0.3333333333333333,0.3260672116257947
40,0.96,0.96,1.0,0.9795918367346939,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.3333333333333333,0.32653061224489793
50,0.9546666666666667,0.9558823529411765,0.9986033519553073,0.976775956284153,0.5,0.037037037037037035,0.06896551724137931,0.0,0.0,0.0,0.4852941176470589,0.3452134629974481,0.3485804911751775
